Date Published,Rating,Max Rating,Author,Country,Title,Review Body,Type Of Traveller,Seat Type,Date Flown,Aircraft,Route,From,Via,To,Verified,Recommended
2018-05-06,10.0,10.0,William Simpson,Thailand,"""Impressive service""","  Bangkok to Edinburgh via Doha. Impressive service from beginning to end. The new lounge at BKK is a huge improvement on the previously shared lounge with THAI. Every encounter with Qatar staff was professional and based on the highest level of training. The business class lounge at Doha is now busier than when it first opened, as a result of which there is always a queue for a shower, but thankfully, it only takes about 15-20 minutes to wait until one is freed up.",Couple Leisure,Business Class,April 2018,Boeing 777-300ER,Bangkok to Edinburgh via Doha,Bangkok,Doha,Edinburgh,1.0,Yes
2018-05-05,5.0,10.0,Sudheera Dahanayake,Sri Lanka,"""Onboard did not see many smiles""", Flew Qatar Airways from Colombo to Amsterdam via Doha. Check-in took ages even at the online bad drop counter. What's the purpose of this whole exercise of online checking if it does not minimize the fuss at the airport. Onboard did not see many smiles on the crew faces. They were just going through their work routine. The seat and entertainment is very good and the cabins appear new.  In between meals there was hardly any water or juice in the cabin.,Solo Leisure,Economy Class,May 2018,Boeing 777,Colombo to Amsterdam via Doha,Colombo,Doha,Amsterdam,1.0,no
2018-04-30,10.0,10.0,Garfield Jones,United States,"""very professional and courteous""","  Miami to Doha return. Awesome from the lounge to the aircraft. Onboard the staff was very professional and courteous, I was totally impressed. I am looking forward to another trip with this airline.",Solo Leisure,Business Class,March 2018,A350,Miami to Doha,Miami,Direct,Doha,1.0,Yes
2018-04-28,10.0,10.0,A Althani,Qatar,"""An excellent experience""","  Doha to Johannesburg. Early morning start on an older 777 cabin staff prompt and helpful with a graciousness expected on Qatar Airways, the seat was comfortable though the massage feature was not working. The breakfast selection was a little lacking, though the portions were generous. IFE was good overall. An excellent experience but the ticket price was very steep .",Family Leisure,Business Class,April 2018,Boeing 777-300,Doha to Johannesburg,Doha,Direct,Johannesburg,1.0,Yes
2018-04-24,9.0,10.0,Peter Dyson,United Kingdom,"""simply outstanding""","  Birmingham to Penang via Doha. First time flying with Qatar Airways, usually fly Emirates, but the service on the new route to Penang was simply outstanding on all legs. Crew very friendly and attentive and the food was first class. Only drawback was use of lounge in Penang which is used by various other airlines and was not acceptable for many reasons which will be detailed in lounge review. Will definitely use Qatar again.",Couple Leisure,Business Class,April 2018,Boeing 787,Birmingham to Penang via Doha,Birmingham,Doha,George Town,1.0,Yes
2018-04-18,9.0,10.0,G Gilliam,Ireland,"""offer an incredibly good service""","  Hong Kong to Dublin via Doha. An evening service using Boeing 777 on first leg and Boeing 787 from Doha. Check-in was quick and efficient in both airports. Seat 3K (right window) on B777 was comfortable and spacious. Flight attendants were friendly, and addressed me by name. Qatar offer dining on demand, and my excellent dinner arrived when requested. From the menu, lobster stood out, but it was not available. The FA saw my disappointment, and twice during the flight the purser came to apologise. The beef replacement was excellent. Food overall was probably the best I have had on an airplane. Wine was also really good. Couldn't fault the service, with a nice amenity kit, including Georgio Armani after shave balm, after shave, and lots of moisturisers, lip balm etc. Pyjamas are also supplied and it was easy to get 6 hours good sleep. IFE was good, with a reasonable selection, and an excellent moving map display, including simulated head-up display and instrument panel. First leg arrived on time, and then all change to the Boeing 787. Service on to Dublin was of a similar standard, and the breakfast omelette, which came after a nice fruit selection and cereal, was very tasty. The interesting thing here is the comparison between the B777 and 787. The 787's seat (2K window seat), is angled so you have no-one beside you. The Boeing 787 windows are just huge, and are electronically dimmed. Cabin lighting is very sophisticated, but I have to say that overall I was a little disappointed with the Boeing 787. The seat is not as spacious or comfortable as the older 777, and the IFE is decidedly fiddly and unfriendly to use. I could see several passengers needing assistance with it, and the FA's couldn't figure it out either. The moving map display was different also, and strangely for a newer airplane, it was much more basic, and missed most of the nice features available on the 777. Overall, I have to say that Qatar offer an incredibly good service, with amazing food, great staff, a modern fleet, and very comfortable lounges, particularly in Doha. I would seek them out actively in preference to the other middle eastern airlines, and that is really saying something.",Business,Business Class,April 2018,Boeing 777 / 787,Hong Kong to Dublin via Doha,Hong Kong,Doha,Dublin,1.0,Yes
2018-04-18,10.0,10.0,C Down,United Kingdom,"""crew on board were fantastic""","  Birmingham to Manila via Doha. Check in at Birmingham was very quick and easy and was given fast track security, although in Birmingham this is pretty badly organised! The lounge is a 3rd party lounge called No.1, which is quite nice and modern inside and with reasonable amount of seating tables etc. Because it is a lounge which you can pay to use they limit how much hot food you can have which is a shame as the portions are not large, although it was actually delicious. Boarding was easy and quick and my amenity kit was already in my seat and I was immediately offered a welcome drink. All crew on board were fantastic throughout the flight. Food and drinks including presentation was more akin to a first class product really. The seat in the 787 is the excellent herringbone config and was very comfortable and with a lot of storage and table space. At Doha I did not have long to change planes so did not have time to enjoy the lounge. On the 777 the service was just as excellent, I didn’t sample the dinner as I went straight to sleep but the breakfast was excellent and the dine in demand meant that it could fit around when I woke up and I wanted to eat, an amazing plus! The 777 was an older one with the old 2-2-2 config which actually isn’t too bad, the seat and bed are both comfortable although as I am quite tall I much prefer a seat with a separate food stool. There is fairly good storage space although limited table space. Regarding IFE, whilst the 787 has a newer system, I actually found the 777 system more responsive and easier to use and the quality was still really good! Overall an outstanding flight and very good value for money. Being able to collect BA points and avios was an added bonus.",Solo Leisure,Business Class,April 2018,Boeing 787 / 777,Birmingham to Manila via Doha,Birmingham,Doha,Manila,1.0,Yes
2018-04-14,2.0,10.0,Wesley Robertson,United Kingdom,"""my suitcase was damaged""","  Johannesburg to Edinburgh via Doha. Qatar Airways provides a decent service with their flights, but other areas are lacking. You can choose your seats online if you booked with them, which is useful without paying an extra charge. The seats were too narrow in my opinion and leg room was not too generous. Service by the cabin staff was good. The in flight entertainment was okay. Some recent new movies were the highlight. The screen is not very high quality and headphones supplied had to have its connection moved around to work properly, which was not a good experience at all and this happened on my recent flights with them. I was disappointed with the food quantities and frequency. The main meals for breakfast and supper (somehow never got lunch) are very small, notwithstanding that there are some other small accompaniments. The choices of were only basically chicken or vegetarian. The problem that I had with how often meals were served was particularly on one of my connecting flights to Doha, which started boarding at 12:45. They did not serve lunch and instead served supper at 16:00 and in the evening, they only served their tiny hot sandwich, which is a small rectangular pie and a tiny cupcake. As a result, I was very hungry throughout the flight. On arrival to my final destination, my suitcase was also damaged, with two sharp metal parts sticking out from the bottom and when I inquired about it at the baggage desk, they refused to even acknowledge that there was any damage and were quite frankly rude. This was ridiculous.",Solo Leisure,Economy Class,April 2018,Boeing 787,Johannesburg to Edinburgh via Doha,Johannesburg,Doha,Edinburgh,1.0,no
2018-04-14,8.0,10.0,Peter Kubler,Australia,"""flight attendant was excellent""","  My wife and I had booked a return trip Adelaide to Frankfurt via Doha over Easter. A few days before departure Qatar offered an upgrade to Business Class for the 2 legs and we decided to upgrade for about $2500 for Adelaide Doha. This was well worth it, we ate well, our Romanian our flight attendant was excellent and attended to our every need and I managed to sleep about 9 hours. The next leg, Doha to Frankfurt was only 6 hours and it passed uneventfully but in Economy Class. Our return flight, about 12 days later from Frankfurt to Doha passed quickly as well. On the nearly 14 hour flight from Doha to Adelaide we each had a row of seats. The A350 which Qatar uses for the 14 hours long haul, has a 3x3x3 configuration which made sleeping possible. But economy class food left a lot to be desired. I was served lamb in apricot sauce which was so dry that I think they forgot about the sauce. For the brunch I opted for the Cheddar Cheese scrambled egg and this was also very dry . However, the desserts served were of a good enough standard. Boeing 777 middle row of 4 seats is very squeezy by comparison to the A350 and there is little space for 8 legs and feet. The flight attendants were friendly and efficient.",Couple Leisure,Business Class,April 2018,A350 / Boeing 777,Adelaide to Frankfurt via Doha,Adelaide,Doha,Frankfurt,1.0,Yes
2018-04-14,7.0,10.0,R Taylor,United States,"""onboard service is fantastic"""," Qatar is still a great airline overall, but declining in some areas.  Onboard service is fantastic, flight attendants are the best in the business, hard-working and hospitable in every way. The food is good. The seats on the A350 are nice, the B777 less so. The IFE on the A350 is great and easy to use. The B777 less so. At JFK, we were delayed leaving. The ground staff made no announcements about the delay for over two hours. They only made one when I finally trudged up to the small, packed, outdated gate area and told them they needed to. Then, a chaotic boarding commenced that was a free-for-all. In DOH, I missed my connection by a half hour or so. There was no ground staff there with information on my flight to Kigali, I had to go to their transfer desk to get vouchers for the stay in Doha. Next morning the immigration was woefully understaffed. It took 1 hour to clear immigration because there were a couple of disinterested workers and hundreds of passengers needing to get through. Security screening can be hit and miss. Things allowed through some times, next time they are taken.",Solo Leisure,Economy Class,April 2018,A350/Boeing 787,New York JFK to Kigali via Doha,John F. Kennedy,Doha,Kigali,1.0,no
2018-04-13,9.0,10.0,A Althani,Qatar,"""the service was superb"""," Auckland to Doha My return leg Business Class was full the service was superb but beverage selection was lacking, I think some catering choices only come out of Doha. IFE was very good and up to date the seat was comfortable though I prefer the layout of the A350 and 787 it gives more privacy and 17 hour flight that Qatar Airways do their best to make as painless as possible and a remarkable job it is. Though I would point out the check in staff making me pay for 3 kilos though I was a Gold member of the privilege Club and this flight qualified me to become a Platinum member, quite a cheap shot by Qatar Airways .",Solo Leisure,Business Class,April 2018,Boeing 777-200LR,Auckland to Doha,Auckland,Direct,Doha,1.0,Yes
2018-04-12,7.0,10.0,Anders Pedersen,Vietnam,"""FAs are the best in the air"""," SGN-DOH-KGL on A330 and B787-8. Flights on time. Service on board fine, food is deteriorating (small portions, oily, no meat options), but FAs and drink offers almost make up for it. Qatar as a country suffers tremendously from the Arab ban/embargo put on them from their neighbours causing increased food prices and for QR it implies huge deroutings on most African and S-American destinations (add up to 3 hours per leg!). FAs are the best in the air, always focused, energetic, proactive, attentive, and committed, and hardworking. Rarely – if ever? Have I seen better FAs. Personalised service for everybody onboard the business class cabin. They still do charity collections onboard – to my view a violation of passengers. IFE very good. Bus-gating in Doha annoying and tedious.",Business,Business Class,April 2018,A330 + Boeing 787-800,Ho Chi Minh City to Kigali via Doha,Ho Chi Minh City,Doha,Kigali,1.0,no
2018-04-12,10.0,10.0,Peter Davies,New Zealand,"""our airline of choice""","  Auckland to Cape Town via Doha. Just wanted to the ground crew at Auckland Airport for their fabulous service today, helping to get my sister-in-law checked in and upgraded with my Qmiles, she was absolutely delighted thank you. We have flown to Europe and back twice with Qatar Airways now in recent years (Business Class), and they are very much our airline of choice, and the most comfortable way to travel what is one of the longest routes in the commercial aviation world.",Business,Business Class,April 2018,Boeing 777,Auckland to Cape Town via Doha,Auckland,Doha,Cape Town,1.0,Yes
2018-04-10,7.0,10.0,R Manzir,United Kingdom,Qatar Airways customer review,"  Doha to London Heathrow. Overall a reasonable experience. I was not so impressed with the A350 and I found it hard to hear the IFE. The seat was not that spacious. Food onboard was fantastic, a good portion for dinner which included salad, roll with cheese, sweet Thai chilli chicken with jasmine rice and steamed vegetables and a summer fruit cheese cake. There was also a light sandwich and muffin with coffee before we started to land. The IFE was quite good, but not as much choice as some airlines. The on board staff were pleasant.",Solo Leisure,Economy Class,April 2018,A350,Doha to London Heathrow,Doha,Direct,London,1.0,no
2018-04-07,10.0,10.0,Catherine Johnston,Ireland,"""Definitely a 5 star airline""",  Dublin to Melbourne via Doha. I travel at least 3 times a year with different airlines but never got the service which I received on both sections of the flights from Dublin to Melbourne. I may mention one staff on the second flight who went beyond the call of Duty. Definitely a 5 star airline.,Solo Leisure,Economy Class,April 2018,A380,Dublin to Melbourne via Doha,Dublin,Doha,Melbourne,1.0,Yes
2018-04-07,3.0,10.0,C Hallatah,Qatar,"""he changed my cutlery""","  Paris CDG to Doha, I was sitting on the first row in the economy class. Upon opening the cutlery to start eating, I noticed that my fork is dirty. I called the staff and informed him and he changed my cutlery. I am wondering what quality control the caterers in Paris enforce.",Solo Leisure,Economy Class,April 2018,A380,Paris to Doha,Paris,Direct,Doha,1.0,no
2018-04-05,10.0,10.0,A Althani,Qatar,"""unbelievable high standards""","  Doha to Auckland. Early morning departure, ground staff were quite rude. Plane was 8 year old Boeing 777-200LR, quite old by Qatar Airways standards , but was very clean and fresh , on board service was impeccable. The IFE was a better selection than the one on the A350s and the meals were delicious I had the Sea Bass and the Arabic Breakfast. The long 17 hour flight went by like a breeze with the unbelievable high standards Qatar Airways deliver . The seats were very comfortable.",Solo Leisure,Business Class,April 2018,Boeing 777-200LR,Doha to Auckland,Doha,Direct,Auckland,1.0,Yes
2018-04-01,10.0,10.0,A Mubala,Kuwait,"""onboard service is unbeatable""","  Doha To Munich (I was connecting from Kuwait), the flight was operated by Qatar Airways leased A350-900 From LATAM Airlines - what an amazing aircraft! Spacious, great legroom, and the onboard service is unbeatable! Very professional friendly crew, they were so nice, breakfast it was pretty good. IFE was great, seat was very comfortable, snacks were also provided before landing. Hamad International Airport is my favorite airport, it is easy and very modern! I’ve also flown on Emirates, but I can clearly tell through my experience, Qatar Airways is the best!",Family Leisure,Economy Class,March 2018,A350-900,Doha to Munich,Doha,Direct,Munich,1.0,Yes
2018-03-30,8.0,10.0,L Ball,United Kingdom,"""cabin crew were pleasant""","  Booked a 15 day day food tour of India, starting from New Delhi and ending up at Goa, Qatar Airways offered the best route. Manchester to Doha was on the B787-8, cabin crew were pleasant in particular the head purser who was apologetic and showed empathy as they did not have my food choice by the time she reached me. The passenger next but one to me, was argumentative as he did not get his food choice as well, she handled the situation extremely well. She explained to the passenger that number of food choice is governed by projected demand and supply. This happened to me again from Goa to Doha, again the cabin crew was apologetic and and showed empathy. From Doha to Manchester, luckily I was seated near the front and therefore had choice of food, and they provided numerous drinks run throughout the flight. I would give this airline 10 out of 10, but only going got give it 8 out of 10 due to not having my choice of food. I think Qatar Airways and also the other airlines need to have more food portions available as it must cost pennies to produce the meals during their flight.",Solo Leisure,Economy Class,March 2018,Boeing 787-8 / A321,Manchester to Delhi via Doha,Manchester,Doha,New Delhi,1.0,Yes
2018-03-27,8.0,10.0,Ajay Kubavat,India,"""Seat was very comfortable""","  Ahmedabad to Chicago via Doha. Everything starting from Ground Services at Ahmedabad Airport till Chicago was up to mark, and niche, they make you feel like king when you fly business with them. When I got down at Doha Airport as part of ny transit to Chicago, I was been welcomed with a broad and welcoming warm smile at Al Moujran Lounge which is for Business class. Has great showers and very helping and cooperative staff, they gave me Dental kit and reserved a shower for me, washroom are huge enough with all the amenities and privacy. They have various restraurants ranging from Made to order to Buffet with varieties of food and beverages, must try is their Arabic Platter with Hummus and Pita Bread and lentil soup. After a short break I boarded the aircraft, which had dedicated Business class priority boarding, which was very smooth. I was having 6A seat on this flight. Seat was very comfortable with great pitch and legroom, I almost had more than 4 windows at my disposal for a great view, they are having almost 26 inches of screen with touch and remote operated system. Seat can convert in to fully flat bed , it has massaging options and various positioning options. They provided me with Pyjamas. Both the things were of a good quality and very niche product indeed. They welcomed me with options of Sparkling water, wine or champagne. Along with hot and cold towel. Seat has power outlet to charge your gadgets or laptops , Qatar airways even provide customers with Laptop on demand if u want during your journey. I got one as I had to finish one presentation. Food can be made to order and you can choose your own time of having it.  They had varieties of beverages.  I had a good nights sleep with fully flat bed and ambient lighting. Had a great breakfast. Keep it up Qatar airways",Business,Business Class,May 2017,Boeing 777-300,Ahmedabad to Chicago via Doha,Ahmedabad,Doha,Chicago,1.0,Yes
2018-03-27,4.0,10.0,L Hareno,United Kingdom,"""Food quality was poor","  Seats are the most uncomfortable I have experienced, although leg room is good, it is hard to sleep due to the hardness / design of the modern seating. The service is limited as possible. Face wipe; issue menu card; serve menu and drink in plastic cup; then hide away, apart from odd round with trays of water, pastry snack box before landing. The media is good, but not a great deal better than other airlines. Food quality was poor and bland. Qatar Airways ticks all the basic boxes for economy but lacks any wows to support its current status.",Couple Leisure,Economy Class,March 2018,A380-800,London to Doha,London,Direct,Doha,1.0,no
2018-03-26,9.0,10.0,Attila Toth,United Kingdom,"""atmosphere is much warmer"""," Flew Qatar Airways from Oslo to Doha. The business cabin on the B787 planes is at the front of the plane, since there is no first class. At the second door a small onboard self-service bar is in place where champagne, wine and snacks are provided during the flight. Two additional seats can be found behind the bar and between the toilets, these are not recommended. Due to the small cabin (compared to the A380 cabins) the atmosphere is much warmer and the staff can pay more attention to passengers. The overhead compartments are missing above the middle seats that makes the cabin more spacious, but middle seat passengers must use the storage above the window seats. Usually it is not a problem, the space is still enough, but I felt uncomfortable in disturbing others by opening the storage above them. The 1-2-1 herringbone configuration seats provide great comfort and space, they are like first class seats at some other airlines. They can be converted to a full-flat bed, however some may find the leg space limited. The screen is large enough and the noise cancellation headsets close out every disturbance. Since it was a day flight, pajamas were only available upon request. The service was excellent and Qatar Airways' on-demand a'la carte menu allows passengers to meal whenever and whatever they wish. Before take-off the flight attendants book the meal requests and the preferred time of the serving, then they return when time comes. Of course passengers can change their mind anytime but it is worth booking the meals in advance to ensure they do not run out. In my case they ran out of Hungarian desert wine Tokaji but substituted with an Australian one. The meals were delicious, but not show-stopping. The entertainment system could have a bigger selection of movies and the browsing the selection should be available via the main screen instead of the touch screen equipped remote control. WiFi is for free up to 10MB (!) more can be purchased, however it is really slow and occasionally working.",Couple Leisure,Business Class,March 2018,Boeing 787,Oslo to Doha,Oslo,Direct,Doha,1.0,Yes
2018-03-26,10.0,10.0,Attila Toth,United Kingdom,"""well ahead of most business seats"""," Flew Qatar Airways from Doha to Sydney. The business class cabin is situated on the upper deck of the A380, behind the first class cabin. The seats are in a herringbone configuration of 1-2-1. They are very comfortable and can be converted to a full flat bed, however some may find the leg space limited in the bed position. But still, they are well ahead of most business seats of other airlines. The onboard service was excellent and smooth. Passengers can select when, what and how many times they wish their meals to be served. It is a nice thing, but it means that people eat in different times, hence the flight attendants run up and down the cabin during the whole flight and smell of food is always present in the cabin. At the aft of the business cabin a full size bar can be found with canopies, fruit and a bartender who serves cocktails. It is simply amazing! The WiFi is free up to 10Mb, but it did not really work to me and the selection of movies could be wider.",Couple Leisure,Business Class,March 2018,A380,Doha to Sydney,Doha,Direct,Sydney,1.0,Yes
2018-03-25,10.0,10.0,H Lang,Romania,"""It was a pleasant flight""","  Phuket to Doha. It was a pleasant flight,  upgraded to business class, the airline do not provide lounge access and fast track for upgrades. The flight itself was ok, with flat bed to sleep, sophisticated meal prepared by class chefs - a nice surprise. Large screen with new releases for entertainment. Cabin crew was polite and friendly, helpful during the flight, which was on time.",Couple Leisure,Business Class,March 2018,B777-300ER,Phuket to Doha,Phuket,Direct,Doha,1.0,Yes
2018-03-20,10.0,10.0,D Shayisha,United States,"""really enjoyed the travel""","  New York to Dhaka via Doha. We decided to travel by Qatar airways due to the reviews in Skytrax and I'm glad i made this decision. This was my first time traveling with Qatar airways and i really enjoyed the travel. Their staff service was good, the plane was nice. One thing i really have to praise is their time, we did not have to worry about getting delayed. we traveled by Emirates before and the experience wasn't very pleasant. Qatar Airways is a very amazing airline.",Family Leisure,Economy Class,February 2018,A330-300,New York to Dhaka via Doha,New York,Doha,Dhaka,1.0,Yes
2018-03-20,3.0,10.0,Hugh Colton,United States,Qatar Airways customer review,"  Doha to Atlanta. When checking in in Atlanta despite telling the agent we were going to stop in Doha she checked our bags to Kathmandu. The agent had to have her supervisor correct the error. The same happened in Kathmandu despite my very clear instructions that we were going to Doha. When I saw that incorrect bag tags had been printed she was quite rude telling me that I should have told her that we were only going to Doha.  Doha airport has been built to a very high standard, there is a train to take passengers to the gates, however arriving passengers must walk to the terminal. Admittedly almost everyone on both flights into Doha were in transit. We were not. The passport process was very poor. At least an hour wait on both occasions. There are 36 immigration gates, of which no more than five were manned. After the first stay in Doha we found the check-in process for our flight to Kathmandu relatively simple. I'm OneWorld sapphire member, and the process worked OK. Qatar Airways has a lounge that permits entry to OneWorld  members and we were able to enjoy a breakfast before joining the flight to Kathmandu. After the second stay in Doha we had to checkin at a special area for passengers travelling to the USA. We later learnt on return to the US that our miles from Doha to Atlanta did not appear in our AA accounts. Of the 45 minutes we expected to have in the Qatar Airways lounge to have breakfast we had just 20 minutes before we were called to the gate. Passengers with computers or iPads were sent to a special security area and devices checked and placed in sealed plastic bags which could not be opened until on board the aircraft.  My wife's iPad is in a very tightly fitting leather protective case. The security people insisted that this had to be removed which proved very difficult. The leather case was never examined and just returned to her, so what that proved I have no idea. All this additional security meant that the flight departed Doha late and in turn arrived late in Atlanta. The food on Qatar Airways is very basic. I was unimpressed with Qatar Airways and next year when we visit Bhutan we will use a different OneWorld carrier.",Couple Leisure,Economy Class,March 2018,Boeing 777,Doha to Atlanta,Doha,Direct,Atlanta,1.0,no
2018-03-17,7.0,10.0,D Webb,United Kingdom,"""Qatar A380 business has to be my favorite""","  Return flight to Copenhagen via Doha. Really impressed with the lounge in Bangkok, quiet, clean and excellent service. Qatar A380 business has to be my favorite aircraft, so quiet and comfortable. Boeing 787 to Copenhagen was full, I don’t like this cabin compared to that of both the 380 and 350 - I feel you are more ‘exposed’ even though it’s the same seat and the 787 is by far a noisier aircraft. One area where Qatar needs to improve is the food, it was abysmal on both sectors, the offering from Doha was disgusting. The crew were fine, but I find few crew engaging until the end of the flight where they ‘have’ to ask if your flight was enjoyable, it seems staged.",Solo Leisure,Business Class,March 2018,A380 / Boeing 787,Bangkok to Copenhagen via Doha,Bangkok,Doha,Copenhagen,1.0,no
2018-03-17,6.0,10.0,M Parken,Australia,"""superior to majority of other airlines""","  Melbourne to Dublin via Doha. Booked flight that morning due to family emergency, couldn't afford any delays. Well 52 hours later I arrived in Ireland. QR905 delayed due to mechanical ex Melbourne, no info from QR, relied on Qantas lounger updates, probably a visit from uniformed QR staff to lounge would have been in order, finally boarded 3 hours late which meant missed connecting flight to LHR. QR had me overnighting in hotel to take direct flight DOH-DUB next day, however after much debate with ground team they put me on another flight to LHR 6 hours later, which that ended up delayed, would have missed connecting flight to DUB so full circle and I went to hotel and took direct flight next day. Transfers all arranged and voucher for meals, can't fault the disruption service. Service on MEL -DOH was average,  no interaction from the male FA. Service can border on robotic, very impersonal. Seat comfortable, like the lounge behind business class, great place to stretch out. I found the cabin too hot,Wifi very slow and patchy, the free MB goes in seconds. Flexible airfare so premium price paid. QR still far superior to majority of other airlines, just need to improve the ground staff support, will continue to fly with them.",Solo Leisure,Business Class,February 2018,A380 QR905 9feb,Melbourne to Dublin  via Doha,Melbourne,Doha,Dublin,1.0,no
2018-03-17,2.0,10.0,Robert Joy,United States,"""snack food tasted awful""","  Johannesburg to Houston via Doha. Ground Crew not friendly. Allowed 2 suitcases at 23kg and one carry on. We only had one checked baggage and one carry on each, so below by one checked baggage. Because my CPAP bag was temporary on top of the Carry on they wanted me to pay extra. I explained that I can take my Medical bag off and an argument by the staff started. Eventually a Supervisor intervened and commonsense kicked in. The crew onboard were far from friendly except for the JNB to DOH that flight was as all flights should be, friendly and with good friendly service. Entertainment screen was only 8 inches away from my face. Most of the time my entertainment system didn't work by the Touch Screen or by the Hand Control. Main food meal was tasty and good but snack food tasted awful. Water was regularly offered throughout all flights.",Couple Leisure,Economy Class,March 2018,Boeing 777-300,Johannesburg to Houston via Doha,Johannesburg,Doha,Houston,1.0,no
2018-03-15,10.0,10.0,David Witte,Germany,"""pleasant trip with Qatar Airways""","  Frankfurt to Ho Chi Minh City via Doha. This was a pleasant trip with Qatar Airways. All the cabin crew members were friendly and attentive. Plenty of drinks were offered, and when we asked for anything the crew went the extra mile to fulfil our wishes. One of our B773ER planes and the A330 still had the old Oryx One entertainment system with a low-resolution screen - the newer entertainment systems on the other planes were excellent! Especially the flight in their B787 was very comfortable, even in economy class. The A330 cabin was rather dated, they should retrofit these planes with newer seats. The food was excellent compared to other economy products. Transfer in Doha was smooth. The only issue on this trip were the rude and incompetent local airport ground staff at SGN who conducted check-in for Qatar Airways: they enforced the weight limits for baggage down to the last gram, as strictly as for any low-cost carrier. I can‘t imagine Qatar‘s own staff to be that stringent on weight limits.",Couple Leisure,Economy Class,March 2018,Boeing 773-ER / 787-8 / A330-300,Frankfurt to Ho Chi Minh City via Doha,Frankfurt,Doha,Ho Chi Minh,1.0,Yes
2018-03-13,6.0,10.0,Nathan Jones,United Kingdom,"""found the crew to be pleasant"""," This was my first long haul economy flight in a decade. After been fortunate enough to fly in the front quite often I was on a money saving effort and so did London Heathrow to Sydney return via Doha in economy. I scored a great fare in their annual January sale. I found the service was very good on all flights. I was in the upper deck economy cabin at the back and found the crew to be pleasant and also very responsive whenever I asked for another drink. The legroom was about as good as it will get in economy, which is to say it wasn’t complete torture. It’s up there with the best. The inflight entertainment was sufficiently diverse to occupy me for four long flights, with a mix of older and very new releases. I’d say one of the better systems. Oneworld sapphire and emerald members are treated as second class citizens. Staff were falling over themselves for a QR silver member (OW Ruby) on one leg of my journey which I found odd. This was until I realised that in Doha if you fly economy you don’t have access to the regular business class lounge but  a second tier lounge. Having experienced the Al Mourjan lounge previously I can say the Qatar business class lounge is less superior (think run of the mill AA lounge in the US). Overall the experience as a Sapphire or Emerald member doesn’t matter to Qatar. I had heard that upper deck economy is reserved for premium fliers - this is incorrect. You will get first dibs on the seats, but then it’s open season once online check-in opens. On my DOH-LON flight the lower deck was a third full whilst the upper deck was 3/4 full. I found the food revolting, particularly noteworthy was a chicken biryani from DOH to SYD. But it’s economy so you get what you pay for I guess. Overall I would definitely pay for Qatar in business class, but an indirect route in economy is not something I’ll be seeking out again. No matter how you dress it up economy is economy.",Solo Leisure,Economy Class,March 2018,A380,London to Sydney via Doha,London,Doha,Sydney,1.0,no
2018-03-11,5.0,10.0,Kosta Calligeros,Australia,"""overall disappointing"""," Barcelona to Melbourne via Doha. Plane, we have now flown twice on 787’s and each time it has been a disappointment. The seats feel cramped and narrow when compared to the A380 which is flown in the second leg. The entertainment system is difficult to navigate and the volume is particularly difficult to control. The seats are difficult to move from reclined back straight. 5/10 Service was ok but not at the top of the market when compared to Singapore, Cathay or even Qantas. I wished to change the food order for the children but the hostess made only a brief attempt to find alternative meals and then never came back to let me know definitively that no meals were available. 5/10 Food: Very average meals, serves are small and generally would advise steering clear of European style meals. Indian meals taste better. 5/10 Overall disappointing compared to competitors.",Family Leisure,Economy Class,March 2018,Boeing 787-8,Barcelona to Melbourne via Doha,Barcelona,Doha,Melbourne,1.0,no
2018-03-07,8.0,10.0,D Webb,United Kingdom,"""friendly and had a genuine warmth""","  Copenhagen to Bangkok via Doha. These two flights had both good and bad. Copenhagen to Doha, the seat on the 787 is far superior to that of the old style seat on some 777. However the food was bad , the chicken was inedible and the crew were noisy in the galley. The lounge experience in Doha was again, exemplary. The staff are so friendly and the waiter service and a la carte menu impressive. Boarding for the BKK sector was a bit of a scrum, they could make the priority lane more prominent. It was literally a case of pushing through passengers trying to board. Doha-Bangkok sector and the crew couldn’t have been more different from their colleagues on the Copenhagen sector. For such an early morning departure they were friendly and had a genuine warmth. Food was much better, supper was delivered speedily after take off, and the pancakes for breakfast were delicious. The one thing that lets down QR on the old 777 are the seats, it was uncomfortable to sleep on, but I was so tired I managed a few hours. All in all though a much more positive experience than my previous flights with QR.",Solo Leisure,Business Class,March 2018,Boeing 787/777,Copenhagen to Bangkok via Doha,Copenhagen,Doha,Bangkok,1.0,Yes
2018-03-06,9.0,10.0,Alwaleed Althani,Qatar,"""One of the best flights""","  Doha to Paris CDG. One of the best flights I have taken, the service was personal and professional the cabin staff attentive and gracious, the food was good though not exceptional, the tenderloin was overdone for my taste. Arabic mezze was a little bland and needed more lemon and olive oil. The entertainment system was lacking in selection though the movies were up to date but lacked in classics, the TV selection was very poor. The WiFi was OK and the seat on the Qatar Airways A350 are some of the best in the business .",Family Leisure,Business Class,March 2018,A350-900,Doha to Paris CDG,Doha,Direct,Paris,1.0,Yes
